rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Country-specific,2c,10,0,0.5989853152859093,0.5724351317735517,0.026550183512357606,8,True
RQ1,Country-specific,2c,10,1,0.5997201566136418,0.6268572325903278,-0.02713707597668602,8,True
RQ1,Country-specific,2c,10,2,0.6609617426476959,0.6269194466151123,0.034042296032583574,8,True
RQ1,Country-specific,2c,10,3,0.615392538023231,0.6133808869523538,0.002011651070877196,8,True
RQ1,Country-specific,2c,10,4,0.6512966420829465,0.6010101521718998,0.05028648991104667,8,True
RQ1,Country-specific,2c,10,5,0.6847705005533937,0.7063095494873374,-0.02153904893394365,8,True
RQ1,Country-specific,2c,10,6,0.5679942272832392,0.6497144409209298,-0.08172021363769055,8,True
RQ1,Country-specific,2c,10,7,0.5733614376565774,0.5557791549729475,0.017582282683629935,8,True
RQ1,Country-specific,2c,10,8,0.6380263393474749,0.6466754810804709,-0.008649141732996024,8,True
RQ1,Country-specific,2c,10,9,0.6450284692264183,0.6452587511967399,-0.0002302819703215997,8,True
RQ1,Country-specific,2c,20,0,0.6758644682946703,0.6343990790672773,0.04146538922739296,8,True
RQ1,Country-specific,2c,20,1,0.641829412926961,0.6271738636865489,0.014655549240412125,8,True
RQ1,Country-specific,2c,20,2,0.6952982856065131,0.6295852549114151,0.06571303069509793,8,True
RQ1,Country-specific,2c,20,3,0.6488594840583604,0.6154114181650778,0.03344806589328253,8,True
RQ1,Country-specific,2c,20,4,0.6757432259321037,0.6070599731394788,0.06868325279262488,8,True
RQ1,Country-specific,2c,20,5,0.7204936624136202,0.6777745861230438,0.042719076290576474,8,True
RQ1,Country-specific,2c,20,6,0.6272842494975802,0.6551148422418693,-0.027830592744289118,8,True
RQ1,Country-specific,2c,20,7,0.6212340349961031,0.6333793873999053,-0.012145352403802212,8,True
RQ1,Country-specific,2c,20,8,0.6896747736551876,0.6458066199893848,0.04386815366580277,8,True
RQ1,Country-specific,2c,20,9,0.6941184046540299,0.670389994583658,0.023728410070371853,8,True
RQ1,Country-specific,2c,30,0,0.694709812943814,0.6476989155422707,0.047010897401543295,8,True
RQ1,Country-specific,2c,30,1,0.7024099334505336,0.6289547649540939,0.07345516849643974,8,True
RQ1,Country-specific,2c,30,2,0.7165174786979335,0.6737949541393963,0.0427225245585372,8,True
RQ1,Country-specific,2c,30,3,0.6898952261994775,0.6769262237310325,0.012969002468445012,8,True
RQ1,Country-specific,2c,30,4,0.6946062069381903,0.6461103183260395,0.04849588861215082,8,True
RQ1,Country-specific,2c,30,5,0.7395747514717941,0.7228806840458829,0.016694067425911174,8,True
