test,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
India,2c,10,0.5965528725807316,0.0629926071806674,0.6309584425593606,0.0519891261596894,-0.03440556997862898,HM(RF)
India,2c,20,0.6166329772352698,0.0633579513727769,0.6989980169363875,0.0529164672393673,-0.08236503970111775,HM(RF)
India,2c,30,0.6307195593186886,0.0646588924769264,0.7038311804838694,0.0434519695412389,-0.07311162116518077,HM(RF)
India,2c,40,0.6285476007339238,0.0718772210252103,0.6670046534532226,0.0507100565489208,-0.03845705271929878,HM(RF)
India,2c,50,0.6427047739246701,0.0825768265539534,0.7573770230598693,0.0462895385778626,-0.11467224913519924,HM(RF)
Paraguay,2c,10,0.5227675526606812,0.0229352694599882,0.5773544183997477,0.0364480071550064,-0.05458686573906646,HM(RF)
Paraguay,2c,20,0.5709296711354712,0.0242229715474498,0.6062857444036678,0.0347070941469234,-0.035356073268196564,HM(RF)
Paraguay,2c,30,0.6037562930799664,0.0207489533375408,0.6228444757585063,0.0303490148330887,-0.019088182678539956,HM(RF)
Paraguay,2c,40,0.6146087571666632,0.0276762634966502,0.6328663731850281,0.0359517933954708,-0.018257616018364953,HM(RF)
Paraguay,2c,50,0.6576974935496087,0.0196388058054678,0.6612588808547668,0.0299178332721693,-0.0035613873051580924,HM(RF)
Denmark,2c,10,0.6172070356782511,0.0431898942662017,0.5643282727867781,0.0448983595357471,0.052878762891472975,TabPFN-v3
Denmark,2c,20,0.6271614197122398,0.0420921602996026,0.5727748049736103,0.0441781280356693,0.05438661473862949,TabPFN-v3
Denmark,2c,30,0.6737195980283814,0.0406929332083326,0.5925646956534688,0.0497345733425617,0.08115490237491263,TabPFN-v3
Denmark,2c,40,0.6441993045789969,0.0471804914958775,0.6196699163951724,0.0510962816016763,0.02452938818382444,TabPFN-v3
Denmark,2c,50,0.666098152950034,0.0460252184725277,0.6223260493940443,0.0333007601025661,0.043772103555989705,TabPFN-v3
China,2c,10,0.559709453258935,0.0157464410863227,0.530797870266925,0.0249599010780661,0.02891158299200991,TabPFN-v3
China,2c,20,0.5922077356919189,0.0196595278405169,0.5597004004160201,0.015239787233708,0.032507335275898774,TabPFN-v3
China,2c,30,0.6274244993012419,0.0195389954738316,0.5579762606650427,0.0240828421513497,0.0694482386361992,TabPFN-v3
China,2c,40,0.6343790394441184,0.019931624358374,0.5684419583392804,0.0237103326478692,0.06593708110483809,TabPFN-v3
China,2c,50,0.6439245294369543,0.0180541201361891,0.5842454748298584,0.0191418677661387,0.05967905460709588,TabPFN-v3
UK,2c,10,0.6301943120741227,0.0331685355162856,0.6288859798289544,0.0305258158086153,0.0013083322451682422,TabPFN-v3
UK,2c,20,0.6653698974758038,0.0360789519328174,0.6473363257876775,0.0370783660626474,0.01803357168812625,TabPFN-v3
UK,2c,30,0.6901185786974634,0.0368711742403766,0.671236880684984,0.0401936333892928,0.01888169801247941,TabPFN-v3
UK,2c,40,0.7095660920456611,0.0359362911733748,0.6935532748694441,0.0405393300863407,0.016012817176217053,TabPFN-v3
UK,2c,50,0.730344924122254,0.0360359668146797,0.707224274936783,0.0400162579956369,0.023120649185471076,TabPFN-v3
Mexico,2c,10,0.5639771114009255,0.0422826873504806,0.4927224041231398,0.0336894001122679,0.07125470727778577,TabPFN-v3
Mexico,2c,20,0.6118940361749671,0.047902963574624,0.5307207021521885,0.0353452994542113,0.0811733340227786,TabPFN-v3
Mexico,2c,30,0.6436637700057737,0.0481254017865248,0.6153428502154957,0.0361712906684416,0.028320919790277954,TabPFN-v3
Mexico,2c,40,0.6735631567920607,0.0435267259467106,0.6301303828642184,0.038036073631749,0.04343277392784228,TabPFN-v3
Mexico,2c,50,0.6895928694980078,0.0476411280083798,0.6538812122327882,0.0403694185923554,0.03571165726521963,TabPFN-v3
Italy,2c,10,0.6010707726547118,0.0112338426916343,0.5760368253160151,0.0080566858192215,0.025033947338696683,TabPFN-v3
Italy,2c,20,0.6267632425949355,0.0115979900751467,0.6111310631601344,0.0086597034114171,0.015632179434801108,TabPFN-v3
Italy,2c,30,0.6543415918581938,0.0094298494161587,0.6327221388397813,0.0082323267817525,0.021619453018412504,TabPFN-v3
Italy,2c,40,0.6721948535454719,0.008687286371387,0.6482495756635267,0.0080413505667586,0.023945277881945226,TabPFN-v3
Italy,2c,50,0.6794081489335136,0.0104000748520135,0.6676305769863891,0.0069817302346083,0.011777571947124588,TabPFN-v3
Mongolia,2c,10,0.6895420674138816,0.0244575565640994,0.5911534681826323,0.0097425082977848,0.09838859923124932,TabPFN-v3
Mongolia,2c,20,0.7295636549696703,0.0214193044776279,0.6679579949242535,0.0079062598492071,0.0616056600454169,TabPFN-v3
Mongolia,2c,30,0.7439795470989345,0.0220732017811739,0.6987713653144134,0.0068061761205665,0.04520818178452113,TabPFN-v3
Mongolia,2c,40,0.7551982538366003,0.0207509013983028,0.7169989138547044,0.0100904618239973,0.03819933998189595,TabPFN-v3
Mongolia,2c,50,0.7719493572499105,0.0179033163680521,0.7407773924934045,0.0080679828300226,0.031171964756506076,TabPFN-v3
India,3c,10,0.5296097148716306,0.020257409079335,0.5859916481751896,0.025969475592578,-0.056381933303559006,HM(RF)
India,3c,20,0.540288082152278,0.0144954402501056,0.6120313135820832,0.0282965221563161,-0.07174323142980521,HM(RF)
India,3c,30,0.574816322153479,0.0166318332366366,0.6467545815244122,0.0307063976541087,-0.07193825937093323,HM(RF)
India,3c,40,0.5859127674638034,0.0121855756737364,0.6679906535423594,0.030820466782449,-0.08207788607855604,HM(RF)
India,3c,50,0.6046760648972972,0.0141751094248462,0.6750451004057726,0.0286549003369974,-0.0703690355084754,HM(RF)
Paraguay,3c,10,0.5597831941787768,0.0204018861195423,0.5426673726135525,0.0225393433933976,0.017115821565224287,TabPFN-v3
Paraguay,3c,20,0.5840788008755518,0.0234348394249909,0.5777755517780219,0.0247031537277812,0.006303249097529884,TabPFN-v3
Paraguay,3c,30,0.6501605611190546,0.0232203564485088,0.596410523888296,0.0304011421927686,0.05375003723075866,TabPFN-v3
Paraguay,3c,40,0.6482836730779152,0.0200218578960197,0.6157745140483758,0.0288575950313769,0.032509159029539436,TabPFN-v3
Paraguay,3c,50,0.6383790968970252,0.0279918038147736,0.6364997920758831,0.0283550437778394,0.0018793048211420693,TabPFN-v3
Denmark,3c,10,0.5455602143974398,0.0229461630543289,0.5532319401628994,0.0367482518955694,-0.007671725765459603,HM(RF)
Denmark,3c,20,0.5623033256885553,0.02381755482007,0.5478846171082303,0.0281229982601889,0.014418708580325013,TabPFN-v3
Denmark,3c,30,0.576227691664304,0.0234787459310721,0.574246997767383,0.0362705294654301,0.0019806938969210153,TabPFN-v3
Denmark,3c,40,0.5607342788351275,0.0289358900471348,0.5927521939802898,0.0350437316201595,-0.03201791514516228,HM(RF)
Denmark,3c,50,0.5967683915902962,0.0216474485605259,0.6101403233409821,0.0314956959839036,-0.013371931750685961,HM(RF)
China,3c,10,0.5812797995750387,0.0095684479918497,0.5449204748440686,0.0179698304182305,0.036359324730970144,TabPFN-v3
China,3c,20,0.6242720812978797,0.0135510238278731,0.5944814984819459,0.0166497178744784,0.02979058281593383,TabPFN-v3
China,3c,30,0.6418676571210252,0.0143547829084321,0.6170687276966261,0.0209615848174606,0.024798929424399097,TabPFN-v3
China,3c,40,0.658384907575738,0.0147312039745482,0.634325452362895,0.0200782039811281,0.02405945521284303,TabPFN-v3
China,3c,50,0.6679168991088317,0.0151361413294681,0.6472001565119083,0.0210405842580218,0.020716742596923354,TabPFN-v3
UK,3c,10,0.6079198935452845,0.0116254309927739,0.5745672300242418,0.0134709265126798,0.033352663521042714,TabPFN-v3
UK,3c,20,0.6330365390181327,0.0145978193693257,0.6178315026685741,0.0156327737934188,0.01520503634955861,TabPFN-v3
UK,3c,30,0.6658405104425239,0.0155400972135342,0.6493931111423097,0.014132979456949,0.016447399300214216,TabPFN-v3
UK,3c,40,0.6781059881607054,0.0176028939683677,0.6655259037892045,0.013514039939964,0.012580084371500933,TabPFN-v3
UK,3c,50,0.6905156068031288,0.0157326002726955,0.6811141301772252,0.0145512192764328,0.009401476625903626,TabPFN-v3
Mexico,3c,10,0.6244647386028159,0.0181918719525207,0.5644620746975687,0.0186193853337141,0.06000266390524722,TabPFN-v3
Mexico,3c,20,0.6570846506009704,0.0242545985736311,0.5990274535602824,0.0268976429621715,0.05805719704068801,TabPFN-v3
Mexico,3c,30,0.6759005597188007,0.0240338115723877,0.60790084778555,0.0286701947287089,0.06799971193325072,TabPFN-v3
Mexico,3c,40,0.6811272017920685,0.0303412308789199,0.6414579691782397,0.0300838120602617,0.03966923261382882,TabPFN-v3
Mexico,3c,50,0.69224170729874,0.0305052570998452,0.6596714681398074,0.0388481445039124,0.032570239158932646,TabPFN-v3
Italy,3c,10,0.6287069030752762,0.0088502875946104,0.6215129123608484,0.0074330559281279,0.007193990714427834,TabPFN-v3
Italy,3c,20,0.6694847724359481,0.0101624171583725,0.6643422286363557,0.0085722294198222,0.005142543799592336,TabPFN-v3
