continent,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Europe,2c,10,0.6341140126207734,0.0084342648500565,0.5936397195994012,0.0117374138219793,0.040474293021372176,TabPFN-v3
Europe,2c,20,0.6662854515493042,0.0089529350112551,0.6190611258251058,0.0115916146942596,0.047224325724198435,TabPFN-v3
Europe,2c,30,0.6891064233179944,0.0082176925524651,0.639673302481689,0.0106662353008451,0.049433120836305466,TabPFN-v3
Europe,2c,40,0.7104920731813962,0.0096809187822629,0.6512718108074969,0.0131434227614716,0.059220262373899324,TabPFN-v3
Europe,2c,50,0.7277667053016869,0.0077659165166249,0.6699274519883608,0.0121751488479078,0.05783925331332607,TabPFN-v3
Asia,2c,10,0.5727970246110882,0.0156578754690331,0.5625902957560822,0.0129162902892277,0.010206728855005953,TabPFN-v3
Asia,2c,20,0.6181973236230538,0.0167453290014248,0.6145408502609511,0.0138447937217126,0.00365647336210273,TabPFN-v3
Asia,2c,30,0.658181764262743,0.0161476920948437,0.6399024092774024,0.0143102939595921,0.018279354985340612,TabPFN-v3
Asia,2c,40,0.6859866148663261,0.0173021601202884,0.6464976053897139,0.0142619273538358,0.03948900947661216,TabPFN-v3
Asia,2c,50,0.6957721988731984,0.0185050019181229,0.6706081769571336,0.0146269560217301,0.025164021916064816,TabPFN-v3
Europe,3c,10,0.601679791189215,0.0058193625067909,0.6072706422086196,0.0078616926165264,-0.005590851019404597,HM(RF)
Europe,3c,20,0.6573987943286219,0.0088489330278024,0.6520642542829292,0.0088808996655151,0.005334540045692671,TabPFN-v3
Europe,3c,30,0.669242623863021,0.0087325343065559,0.6807747182982422,0.0089071456578952,-0.011532094435221185,HM(RF)
Europe,3c,40,0.694183610520861,0.0089175019817058,0.7009487781680103,0.0092129706829518,-0.006765167647149295,HM(RF)
Europe,3c,50,0.7152308923650617,0.0088529116911441,0.7161081325993578,0.0091673366357945,-0.0008772402342961394,HM(RF)
Asia,3c,10,0.6068162159934507,0.005622349218081,0.6134814781395623,0.0078448462748897,-0.006665262146111628,HM(RF)
Asia,3c,20,0.6587876565996906,0.0081538100018416,0.6615826393102507,0.0086704388382845,-0.002794982710560112,HM(RF)
Asia,3c,30,0.690383040750365,0.0056986415241419,0.6985461056230369,0.0091908211031867,-0.008163064872671821,HM(RF)
Asia,3c,40,0.7074663561310405,0.0061339780769839,0.716238431657615,0.0099903979342061,-0.008772075526574552,HM(RF)
Asia,3c,50,0.7312383594969801,0.0083364214079208,0.7361594036687279,0.0103060375754956,-0.004921044171747768,HM(RF)
