country,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
India,2c,10,0.5439137754139768,0.0516936427400097,0.6962513414820357,0.0465612851031504,-0.15233756606805893,HM(RF)
India,2c,20,0.6071400768723714,0.0442801260237608,0.6860062137053176,0.0393359040914549,-0.07886613683294619,HM(RF)
India,2c,30,0.637526764539944,0.03497876442708,0.6807198807946294,0.0378089343242458,-0.04319311625468547,HM(RF)
India,2c,40,0.6145601109955235,0.0346205523070443,0.7003973914612859,0.0388537278997432,-0.08583728046576233,HM(RF)
India,2c,50,0.6413218321992082,0.0319326502996122,0.7246600627709376,0.0367614756815207,-0.0833382305717294,HM(RF)
Paraguay,2c,10,0.6647916184795649,0.0233691472273765,0.6253562800727073,0.0186308674807202,0.039435338406857645,TabPFN-v3
Paraguay,2c,20,0.7263946005065144,0.0136716776851289,0.6700755401465635,0.0177044242107098,0.056319060359950934,TabPFN-v3
Paraguay,2c,30,0.7466785654370305,0.0141393216127304,0.6959432268755115,0.0137532907438509,0.05073533856151902,TabPFN-v3
Paraguay,2c,40,0.7694436844889772,0.0168846848177907,0.7102552907765773,0.0212354088615899,0.05918839371239981,TabPFN-v3
Paraguay,2c,50,0.7778956747196674,0.0128986227513591,0.7473399778569172,0.0107100095632759,0.03055569686275017,TabPFN-v3
Denmark,2c,10,0.6980063786204636,0.0431365209147239,0.6797700575597747,0.0524198324174488,0.018236321060688843,TabPFN-v3
Denmark,2c,20,0.7189031704254217,0.0465202726443498,0.6548723378946261,0.0341199009502262,0.06403083253079567,TabPFN-v3
Denmark,2c,30,0.7253718455250074,0.0463946651799566,0.6861243439659378,0.0429512568939596,0.03924750155906964,TabPFN-v3
Denmark,2c,40,0.7268775643804316,0.0431575681132601,0.6625283221338112,0.0470777171041506,0.06434924224662042,TabPFN-v3
Denmark,2c,50,0.7666462302607153,0.030915237623723,0.7016901025322386,0.0494261216106816,0.0649561277284767,TabPFN-v3
China,2c,10,0.6483632487397302,0.0253337943000402,0.6090909822081254,0.0213996817816532,0.03927226653160476,TabPFN-v3
China,2c,20,0.6730943261005754,0.0202553783972395,0.598033201013102,0.0223691361477012,0.07506112508747342,TabPFN-v3
China,2c,30,0.696149605363902,0.0163804801780475,0.6325009597203108,0.0197949130018417,0.06364864564359118,TabPFN-v3
China,2c,40,0.7149904774956574,0.021428093021462,0.6686757379383832,0.0224300634728414,0.046314739557274165,TabPFN-v3
China,2c,50,0.719847361577753,0.0227954472881199,0.6555985363210469,0.0239908493255752,0.06424882525670605,TabPFN-v3
UK,2c,10,0.6049654937198544,0.0358840702772906,0.5691549977399202,0.0263505923892268,0.03581049597993424,TabPFN-v3
UK,2c,20,0.6393544224589764,0.0405993448602614,0.6037065056221321,0.0295030397285863,0.03564791683684432,TabPFN-v3
UK,2c,30,0.6950007786269851,0.0343304660934244,0.6307553435194746,0.0272694832024819,0.06424543510751046,TabPFN-v3
UK,2c,40,0.6896007634227903,0.0417181740821387,0.646186692422162,0.0306574690196198,0.04341407100062833,TabPFN-v3
UK,2c,50,0.7110127337442674,0.041596390698985,0.6515797575553821,0.0352918448399978,0.05943297618888532,TabPFN-v3
Mexico,2c,10,0.6361358052712333,0.0454704195968982,0.6530112470763594,0.0409950337637345,-0.016875441805126123,HM(RF)
Mexico,2c,20,0.7002796342285146,0.0480398317203341,0.6777298870987503,0.0484165507963835,0.02254974712976432,TabPFN-v3
Mexico,2c,30,0.7699342590958849,0.0363418544472922,0.7348442672420339,0.0394557855171202,0.03508999185385098,TabPFN-v3
Mexico,2c,40,0.7858240544502159,0.0360089521464026,0.7670875342657721,0.0295224751288707,0.018736520184443717,TabPFN-v3
Mexico,2c,50,0.7934673801977038,0.0422243057422263,0.7591156104258717,0.0379609974093884,0.034351769771832075,TabPFN-v3
Italy,2c,10,0.602344326058635,0.0083200000154461,0.5871950859454294,0.0086298630364427,0.01514924011320562,TabPFN-v3
Italy,2c,20,0.642386244996924,0.0073875562711325,0.6153636513806802,0.0119701430679488,0.027022593616243817,TabPFN-v3
Italy,2c,30,0.6639353680269329,0.008150242927921,0.6319569016222825,0.0114344610216794,0.03197846640465041,TabPFN-v3
Italy,2c,40,0.6850731835525243,0.0063259306973141,0.6484104420321171,0.009677050526899,0.03666274152040727,TabPFN-v3
Italy,2c,50,0.6997860760077994,0.0064216959542992,0.6678279531413512,0.0116170769766018,0.03195812286644817,TabPFN-v3
Mongolia,2c,10,0.5916175044162748,0.0170158163064173,0.5756421367038758,0.0131920642838707,0.015975367712399047,TabPFN-v3
Mongolia,2c,20,0.6443736133273081,0.0170723695797376,0.6110816561091459,0.0093964622259004,0.03329195721816225,TabPFN-v3
Mongolia,2c,30,0.677580207838496,0.0224669729256398,0.6341558095203299,0.014043840207091,0.043424398318166135,TabPFN-v3
Mongolia,2c,40,0.7068971764610981,0.0215022295958913,0.6658529434693952,0.0155161456454067,0.0410442329917029,TabPFN-v3
Mongolia,2c,50,0.7288215637417205,0.0236410123710375,0.6877158352943309,0.0175309969269408,0.04110572844738958,TabPFN-v3
India,3c,10,0.6491986960193707,0.0523265289881854,0.6414594086335061,0.0263179421673561,0.007739287385864602,TabPFN-v3
India,3c,20,0.6842091501163245,0.043762971111521,0.6816045189590099,0.030003338572901,0.002604631157314685,TabPFN-v3
