model,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Multi-Country,2c,10,0.594085823384447,0.0074890565382253,0.579441836591114,0.0060797670402569,0.014643986793333008,TabPFN-v3
Multi-Country,2c,20,0.6303840536254921,0.008080549004046,0.6088512562806324,0.0076070948473585,0.02153279734485969,TabPFN-v3
Multi-Country,2c,30,0.6566829877927269,0.008617289445468,0.6316487857443581,0.0074826669905264,0.025034202048368814,TabPFN-v3
Multi-Country,2c,40,0.6774202762592849,0.0081724950333193,0.651182769151743,0.0078811466013519,0.026237507107541913,TabPFN-v3
Multi-Country,2c,50,0.6954975803385139,0.0080855627434313,0.6669830061915153,0.0083743116086157,0.02851457414699865,TabPFN-v3
Multi-Country (Bal),2c,10,0.5626015626430134,0.0220343216816141,0.5606033699131213,0.0188546705046837,0.001998192729892101,TabPFN-v3
Multi-Country (Bal),2c,20,0.5990169576560127,0.0212027093091356,0.5928993448369578,0.0208735295912098,0.006117612819054874,TabPFN-v3
Multi-Country (Bal),2c,30,0.6199851207292724,0.0249516781242051,0.6021251147172337,0.0187635174180755,0.01786000601203863,TabPFN-v3
Multi-Country (Bal),2c,40,0.6463885592287136,0.0236893508084317,0.6349709950169904,0.0192756991191015,0.011417564211723241,TabPFN-v3
Multi-Country (Bal),2c,50,0.6716805763726911,0.0230105186308337,0.648944958455627,0.020970013574739,0.02273561791706402,TabPFN-v3
Multi-Country,3c,10,0.5967659685323352,0.0067860718538951,0.6065553466394589,0.0040393891850414,-0.009789378107123659,HM(RF)
Multi-Country,3c,20,0.6411540748682552,0.0050612865641134,0.648492210322203,0.003570669636154,-0.007338135453947903,HM(RF)
Multi-Country,3c,30,0.6655888415247101,0.0052412431584488,0.6794462203291279,0.0042834249977631,-0.013857378804417841,HM(RF)
Multi-Country,3c,40,0.68177938138625,0.0063862136802109,0.7008266142223689,0.0038830647634294,-0.019047232836118866,HM(RF)
Multi-Country,3c,50,0.6975588950212477,0.0056159773079457,0.7184602270420983,0.0045951002436495,-0.02090133202085065,HM(RF)
Multi-Country (Bal),3c,10,0.588106423123148,0.0142438321257734,0.5648634000495392,0.0132211655396906,0.023243023073608815,TabPFN-v3
Multi-Country (Bal),3c,20,0.6248857103712624,0.0153115877774149,0.6069138603185366,0.012466123678834,0.017971850052725835,TabPFN-v3
Multi-Country (Bal),3c,30,0.6500469137281922,0.0149970635091756,0.6328606582844181,0.0139352558766603,0.017186255443774168,TabPFN-v3
Multi-Country (Bal),3c,40,0.6696767214867245,0.0131039215742309,0.6495512296699127,0.0123238436980156,0.02012549181681178,TabPFN-v3
Multi-Country (Bal),3c,50,0.6927527867987707,0.0123799723576568,0.6677251816854826,0.0125092598708743,0.025027605113288165,TabPFN-v3
