variant,task,context_pct,test_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Multi-Country,2c,10,50,0.6943779473468803,0.0139771278992729,0.6855826658157028,0.0116123307201557,0.008795281531177479,TabPFN-v3
Multi-Country,2c,20,50,0.7335822844177293,0.0113050340136193,0.7110223419294399,0.0098706641091852,0.02255994248828941,TabPFN-v3
Multi-Country,2c,30,50,0.7615053445268679,0.0085901983787276,0.7310750548375181,0.0089596464458125,0.0304302896893498,TabPFN-v3
Multi-Country,2c,40,50,0.7762920173986417,0.008305826802048,0.7431725278355785,0.0094298921889701,0.03311948956306321,TabPFN-v3
Multi-Country,2c,50,50,0.7872729757936618,0.0085999640947051,0.7504941570441221,0.0097042170439883,0.0367788187495397,TabPFN-v3
Multi-Country,3c,10,50,0.7603458378429067,0.0055669539342096,0.7401034472452287,0.0053942828625005,0.02024239059767796,TabPFN-v3
Multi-Country,3c,20,50,0.7915422661389242,0.0072501507900841,0.7674520980522401,0.004834668982111,0.02409016808668407,TabPFN-v3
Multi-Country,3c,30,50,0.8047264572453198,0.0073045735476005,0.7820096746618794,0.0052011986293246,0.022716782583440343,TabPFN-v3
Multi-Country,3c,40,50,0.8166591384029,0.0066915866874049,0.793308771596963,0.0048130173000322,0.02335036680593705,TabPFN-v3
Multi-Country,3c,50,50,0.8215250064669284,0.007288517853822,0.8001147399665008,0.0047529952906912,0.021410266500427544,TabPFN-v3
Multi-Country (Bal),2c,10,50,0.6234790197934431,0.013133276216323,0.6369747085944149,0.010078008653342,-0.013495688800971739,HM(RF)
Multi-Country (Bal),2c,20,50,0.6851192222096311,0.0128426450048622,0.680046457421873,0.0139329739386016,0.005072764787758088,TabPFN-v3
Multi-Country (Bal),2c,30,50,0.7029492503759414,0.0163217415612239,0.6862540401436202,0.0148892092665307,0.016695210232321123,TabPFN-v3
Multi-Country (Bal),2c,40,50,0.7231311820270938,0.0146995159250898,0.6993541120771656,0.0134901403590495,0.02377706994992823,TabPFN-v3
Multi-Country (Bal),2c,50,50,0.7405258072658516,0.0148761715777935,0.7144598070959496,0.018045764966264,0.026066000169902015,TabPFN-v3
Multi-Country (Bal),3c,10,50,0.7045732138547482,0.0244109021391139,0.6971966545658562,0.020423075841667,0.007376559288892026,TabPFN-v3
Multi-Country (Bal),3c,20,50,0.753469996534943,0.0211765648456859,0.7362936402482064,0.0196924551222617,0.017176356286736527,TabPFN-v3
Multi-Country (Bal),3c,30,50,0.7828428042535706,0.0198809126790938,0.7593067475779891,0.0198118846889828,0.02353605667558145,TabPFN-v3
Multi-Country (Bal),3c,40,50,0.792938547449161,0.019319567774142,0.7697532381238137,0.0207595613124281,0.023185309325347347,TabPFN-v3
Multi-Country (Bal),3c,50,50,0.8047406208891242,0.0192387791944108,0.7794380332087517,0.0194127400476172,0.025302587680372524,TabPFN-v3
